sample1,,0,1 mg mL,,EM-260 0,1,,EM-260 0,01,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
465,0.09568051249,465,0.01709457487,465,0.004538716748,465,0.001829247805,
464,0.09714190662,464,0.01774722151,464,0.004977658857,464,0.001805332839,
463,0.09708535671,463,0.01760362461,463,0.004514625762,463,0.001982880756,
462,0.09702391922,462,0.0172000546,462,0.004497336689,462,0.001542640966,
461,0.09693200886,461,0.01749149896,461,0.004684649874,461,0.001760781743,
460,0.09659334272,460,0.01758268103,460,0.004889557604,460,0.001585506951,
459,0.09587109089,459,0.01777939126,459,0.005109779071,459,0.001577686868,
458,0.09630569816,458,0.01735838689,458,0.004804928787,458,0.001418795204,
457,0.09620986879,457,0.01781849749,457,0.004979308229,457,0.001708724652,
456,0.0962857008,456,0.01777370274,456,0.005368531682,456,0.001654309221,
455,0.09630062431,455,0.01786567084,455,0.005311611574,455,0.001852306188,
454,0.09649480134,454,0.01783373579,454,0.005354668014,454,0.001805592794,
453,0.09623035043,453,0.01778157614,453,0.005181028042,453,0.001985351322,
452,0.09649321437,452,0.01781075634,452,0.005365019664,452,0.001947802259,
451,0.09669058025,451,0.01761718467,451,0.005060016643,451,0.001678787521,
450,0.09688800573,450,0.01731393673,450,0.005078480579,450,0.001660389593,
449,0.0966206342,449,0.0174644161,449,0.005509448238,449,0.001585117308,
448,0.09645087272,448,0.01765775867,448,0.005421710666,448,0.001788489171,
447,0.09603451937,447,0.01768010855,447,0.005545576103,447,0.002168514067,
